Easting,Northing,z,SVF_hemi
705469.985,2715380.18,2458.18457,0.013
705474.985,2715380.18,2458.80542,0.015
705479.985,2715380.18,2459.836426,0.023
705484.985,2715380.18,2460.800781,0.018
705489.985,2715380.18,2461.904785,0.015
705494.985,2715380.18,2462.013916,0.015
705399.985,2715385.18,2453.233887,0.034
705404.985,2715385.18,2453.567139,0.038
705409.985,2715385.18,2453.983887,0.032
705414.985,2715385.18,2454.573975,0.031
705419.985,2715385.18,2455.182861,0.023
705424.985,2715385.18,2454.66748,0.014
705429.985,2715385.18,2454.652832,0.012
705434.985,2715385.18,2454.8479,0.014
705439.985,2715385.18,2456.70752,0.017
705444.985,2715385.18,2457.600586,0.014
705449.985,2715385.18,2459.171387,0.016
705454.985,2715385.18,2460.456787,0.014
705459.985,2715385.18,2460.618408,0.013
705464.985,2715385.18,2461.119385,0.011
705469.985,2715385.18,2460.067383,0.011
705474.985,2715385.18,2460.916016,0.014
705479.985,2715385.18,2461.74292,0.019
705484.985,2715385.18,2462.780029,0.017
705489.985,2715385.18,2463.391357,0.013
705494.985,2715385.18,2464.032227,0.013
705399.985,2715390.18,2453.366943,0.018
705404.985,2715390.18,2453.031006,0.018
705409.985,2715390.18,2451.552734,0.019
705414.985,2715390.18,2453.110596,0.018
705419.985,2715390.18,2452.586182,0.014
705424.985,2715390.18,2453.485596,0.011
705429.985,2715390.18,2454.351807,0.012
705434.985,2715390.18,2456.791016,0.017
705439.985,2715390.18,2457.450195,0.018
705444.985,2715390.18,2457.816162,0.013
705449.985,2715390.18,2460.383545,0.013
705454.985,2715390.18,2461.516602,0.011
705459.985,2715390.18,2461.254883,0.008
705464.985,2715390.18,2462.68335,0.008
705469.985,2715390.18,2462.694336,0.009
705474.985,2715390.18,2463.48584,0.011
705479.985,2715390.18,2464.540039,0.016
705484.985,2715390.18,2465.259521,0.015
705489.985,2715390.18,2466.426758,0.012
705494.985,2715390.18,2467.31665,0.011
705399.985,2715395.18,2451.7146,0.01
705404.985,2715395.18,2451.257568,0.01
705409.985,2715395.18,2453.470947,0.011
705414.985,2715395.18,2453.919678,0.014
705419.985,2715395.18,2455.251465,0.017
705424.985,2715395.18,2456.397949,0.016
705429.985,2715395.18,2457.780273,0.018
705434.985,2715395.18,2458.152588,0.021
705439.985,2715395.18,2458.5625,0.017
705444.985,2715395.18,2459.498535,0.011
705449.985,2715395.18,2460.715088,0.009
705454.985,2715395.18,2461.974365,0.007
705459.985,2715395.18,2461.850098,0.006
705464.985,2715395.18,2463.62085,0.007
705469.985,2715395.18,2464.361328,0.01
705474.985,2715395.18,2465.422363,0.012
705479.985,2715395.18,2468.026611,0.015
705484.985,2715395.18,2470.430176,0.012
705489.985,2715395.18,2470.432617,0.01
705494.985,2715395.18,2472.426025,0.008
705399.985,2715300.18,2463.699707,0.065
705399.985,2715300.18,2467.699707,0.14
705399.985,2715300.18,2471.699707,0.28
705399.985,2715300.18,2475.699707,0.491
705399.985,2715300.18,2479.699707,0.741
705399.985,2715300.18,2483.699707,0.886
705399.985,2715300.18,2487.699707,0.912
705399.985,2715300.18,2491.699707,0.918
705399.985,2715300.18,2495.699707,0.924
705399.985,2715300.18,2499.699707,0.93
705404.985,2715300.18,2464.167236,0.061
705404.985,2715300.18,2468.167236,0.135
705404.985,2715300.18,2472.167236,0.269
705404.985,2715300.18,2476.167236,0.486
705404.985,2715300.18,2480.167236,0.743
705404.985,2715300.18,2484.167236,0.888
705404.985,2715300.18,2488.167236,0.91
705404.985,2715300.18,2492.167236,0.916
705404.985,2715300.18,2496.167236,0.922
705404.985,2715300.18,2500.167236,0.928
705409.985,2715300.18,2465.291992,0.062
705409.985,2715300.18,2469.291992,0.132
705409.985,2715300.18,2473.291992,0.268
705409.985,2715300.18,2477.291992,0.482
705409.985,2715300.18,2481.291992,0.749
705409.985,2715300.18,2485.291992,0.889
705409.985,2715300.18,2489.291992,0.907
705409.985,2715300.18,2493.291992,0.914
705409.985,2715300.18,2497.291992,0.92
705409.985,2715300.18,2501.291992,0.926
705414.985,2715300.18,2466.63623,0.068
705414.985,2715300.18,2470.63623,0.136
705414.985,2715300.18,2474.63623,0.264
705414.985,2715300.18,2478.63623,0.474
705414.985,2715300.18,2482.63623,0.736
705414.985,2715300.18,2486.63623,0.885
705414.985,2715300.18,2490.63623,0.905
705414.985,2715300.18,2494.63623,0.912
705414.985,2715300.18,2498.63623,0.918
705414.985,2715300.18,2502.63623,0.924
705419.985,2715300.18,2466.545898,0.065
705419.985,2715300.18,2470.545898,0.129
705419.985,2715300.18,2474.545898,0.25
705419.985,2715300.18,2478.545898,0.454
705419.985,2715300.18,2482.545898,0.705
705419.985,2715300.18,2486.545898,0.877
705419.985,2715300.18,2490.545898,0.901
705419.985,2715300.18,2494.545898,0.909
705419.985,2715300.18,2498.545898,0.916
705419.985,2715300.18,2502.545898,0.923
705424.985,2715300.18,2466.516602,0.056
705424.985,2715300.18,2470.516602,0.116
705424.985,2715300.18,2474.516602,0.23
705424.985,2715300.18,2478.516602,0.414
705424.985,2715300.18,2482.516602,0.659
705424.985,2715300.18,2486.516602,0.862
705424.985,2715300.18,2490.516602,0.896
705424.985,2715300.18,2494.516602,0.906
705424.985,2715300.18,2498.516602,0.914
705424.985,2715300.18,2502.516602,0.92
705429.985,2715300.18,2467.187744,0.052
705429.985,2715300.18,2471.187744,0.107
705429.985,2715300.18,2475.187744,0.214
705429.985,2715300.18,2479.187744,0.394
705429.985,2715300.18,2483.187744,0.638
705429.985,2715300.18,2487.187744,0.849
705429.985,2715300.18,2491.187744,0.893
705429.985,2715300.18,2495.187744,0.904
705429.985,2715300.18,2499.187744,0.912
705429.985,2715300.18,2503.187744,0.918
705434.985,2715300.18,2467.153076,0.044
705434.985,2715300.18,2471.153076,0.097
705434.985,2715300.18,2475.153076,0.195
705434.985,2715300.18,2479.153076,0.364
705434.985,2715300.18,2483.153076,0.61
705434.985,2715300.18,2487.153076,0.827
705434.985,2715300.18,2491.153076,0.886
705434.985,2715300.18,2495.153076,0.9
705434.985,2715300.18,2499.153076,0.908
705434.985,2715300.18,2503.153076,0.916
705439.985,2715300.18,2467.567139,0.039
705439.985,2715300.18,2471.567139,0.088
705439.985,2715300.18,2475.567139,0.19
705439.985,2715300.18,2479.567139,0.359
705439.985,2715300.18,2483.567139,0.603
705439.985,2715300.18,2487.567139,0.813
705439.985,2715300.18,2491.567139,0.88
705439.985,2715300.18,2495.567139,0.896
705439.985,2715300.18,2499.567139,0.905
705439.985,2715300.18,2503.567139,0.913
705444.985,2715300.18,2468.087158,0.044
705444.985,2715300.18,2472.087158,0.09
705444.985,2715300.18,2476.087158,0.18
705444.985,2715300.18,2480.087158,0.338
705444.985,2715300.18,2484.087158,0.571
705444.985,2715300.18,2488.087158,0.79
705444.985,2715300.18,2492.087158,0.87
705444.985,2715300.18,2496.087158,0.892
705444.985,2715300.18,2500.087158,0.902
705444.985,2715300.18,2504.087158,0.91
705449.985,2715300.18,2468.58374,0.053
705449.985,2715300.18,2472.58374,0.098
705449.985,2715300.18,2476.58374,0.187
705449.985,2715300.18,2480.58374,0.346
705449.985,2715300.18,2484.58374,0.577
705449.985,2715300.18,2488.58374,0.786
705449.985,2715300.18,2492.58374,0.866
705449.985,2715300.18,2496.58374,0.889
705449.985,2715300.18,2500.58374,0.9
705449.985,2715300.18,2504.58374,0.909
705454.985,2715300.18,2469.798828,0.048
705454.985,2715300.18,2473.798828,0.088
705454.985,2715300.18,2477.798828,0.169
705454.985,2715300.18,2481.798828,0.315
705454.985,2715300.18,2485.798828,0.543
705454.985,2715300.18,2489.798828,0.758
705454.985,2715300.18,2493.798828,0.856
705454.985,2715300.18,2497.798828,0.886
705454.985,2715300.18,2501.798828,0.898
705454.985,2715300.18,2505.798828,0.906
705459.985,2715300.18,2470.289795,0.042
705459.985,2715300.18,2474.289795,0.077
705459.985,2715300.18,2478.289795,0.154
705459.985,2715300.18,2482.289795,0.292
705459.985,2715300.18,2486.289795,0.5
705459.985,2715300.18,2490.289795,0.724
705459.985,2715300.18,2494.289795,0.846
705459.985,2715300.18,2498.289795,0.88
705459.985,2715300.18,2502.289795,0.894
705459.985,2715300.18,2506.289795,0.904
705464.985,2715300.18,2471.117432,0.038
705464.985,2715300.18,2475.117432,0.072
705464.985,2715300.18,2479.117432,0.144
705464.985,2715300.18,2483.117432,0.27
705464.985,2715300.18,2487.117432,0.468
705464.985,2715300.18,2491.117432,0.687
705464.985,2715300.18,2495.117432,0.836
705464.985,2715300.18,2499.117432,0.876
705464.985,2715300.18,2503.117432,0.891
705464.985,2715300.18,2507.117432,0.902
705469.985,2715300.18,2472.377441,0.034
705469.985,2715300.18,2476.377441,0.066
705469.985,2715300.18,2480.377441,0.129
705469.985,2715300.18,2484.377441,0.245
705469.985,2715300.18,2488.377441,0.431
705469.985,2715300.18,2492.377441,0.652
705469.985,2715300.18,2496.377441,0.83
705469.985,2715300.18,2500.377441,0.873
705469.985,2715300.18,2504.377441,0.888
705469.985,2715300.18,2508.377441,0.899
705474.985,2715300.18,2473.244873,0.028
705474.985,2715300.18,2477.244873,0.055
705474.985,2715300.18,2481.244873,0.11
705474.985,2715300.18,2485.244873,0.209
705474.985,2715300.18,2489.244873,0.376
705474.985,2715300.18,2493.244873,0.611
705474.985,2715300.18,2497.244873,0.816
705474.985,2715300.18,2501.244873,0.87
705474.985,2715300.18,2505.244873,0.885
705474.985,2715300.18,2509.244873,0.897
705479.985,2715300.18,2474.710938,0.023
705479.985,2715300.18,2478.710938,0.044
705479.985,2715300.18,2482.710938,0.083
705479.985,2715300.18,2486.710938,0.166
705479.985,2715300.18,2490.710938,0.328
705479.985,2715300.18,2494.710938,0.57
